Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,ElasticShardSqlUtil\ElasticShardSqlUtil.csproj,File,ElasticShardSqlUtil\ElasticShardSqlUtil.csproj,,,Microsoft.Extensions.Configuration 8.0.0,,,,,"Microsoft.Extensions.Configuration, 8.0.0  Recommendation:  Remove Microsoft.Extensions.Configuration, and replace with new package Microsoft.Extensions.Configuration 10.0.5"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,ElasticShardSqlUtil\ElasticShardSqlUtil.csproj,File,ElasticShardSqlUtil\ElasticShardSqlUtil.csproj,,,Microsoft.Extensions.Configuration.Json 8.0.1,,,,,"Microsoft.Extensions.Configuration.Json, 8.0.1  Recommendation:  Remove Microsoft.Extensions.Configuration.Json, and replace with new package Microsoft.Extensions.Configuration.Json 10.0.5"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,ElasticShardSqlUtil\ElasticShardSqlUtil.csproj,File,ElasticShardSqlUtil\ElasticShardSqlUtil.csproj,,,Microsoft.Extensions.Hosting 8.0.0,,,,,"Microsoft.Extensions.Hosting, 8.0.0  Recommendation:  Remove Microsoft.Extensions.Hosting, and replace with new package Microsoft.Extensions.Hosting 10.0.5"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,ElasticShardSqlUtil\ElasticShardSqlUtil.csproj,File,ElasticShardSqlUtil\ElasticShardSqlUtil.csproj,,,System.Configuration.ConfigurationManager 8.0.1,,,,,"System.Configuration.ConfigurationManager, 8.0.1  Recommendation:  Remove System.Configuration.ConfigurationManager, and replace with new package System.Configuration.ConfigurationManager 10.0.5"
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,ElasticShardSqlUtil\ElasticShardSqlUtil.csproj,File,ElasticShardSqlUtil\ElasticShardSqlUtil.csproj,,,,,,,,Current target framework: net8.0 Recommended target framework: net10.0
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,ElasticShardSqlUtil\ElasticShardSqlUtil.csproj,File,ElasticShardSqlUtil\Program.cs,63,8,T:System.CommandLine.Builder.CommandLineBuilder,,,,,public static CommandLineBuilder BuildCommandLine()
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,ElasticShardSqlUtil\ElasticShardSqlUtil.csproj,File,ElasticShardSqlUtil\Program.cs,201,12,T:System.CommandLine.Builder.CommandLineBuilder,,,,,return new CommandLineBuilder(root);
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,ElasticShardSqlUtil\ElasticShardSqlUtil.csproj,File,ElasticShardSqlUtil\Program.cs,201,12,M:System.CommandLine.Builder.CommandLineBuilder.#ctor(System.CommandLine.Command),,,,,return new CommandLineBuilder(root);
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,ElasticShardSqlUtil\ElasticShardSqlUtil.csproj,File,ElasticShardSqlUtil\Program.cs,199,12,M:System.CommandLine.Command.AddCommand(System.CommandLine.Command),,,,,root.AddCommand(commandRecoveryManager);
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,ElasticShardSqlUtil\ElasticShardSqlUtil.csproj,File,ElasticShardSqlUtil\Program.cs,197,12,M:System.CommandLine.Command.AddCommand(System.CommandLine.Command),,,,,commandRecoveryManager.AddCommand(commandRecoveryManagerAttachShard);
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,ElasticShardSqlUtil\ElasticShardSqlUtil.csproj,File,ElasticShardSqlUtil\Program.cs,196,12,T:System.CommandLine.NamingConventionBinder.CommandHandler,,,,,"commandRecoveryManagerAttachShard.Handler = CommandHandler.Create<RecoveryOptions, IHost>(RecoveryManagerCommandAttachShard);"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,ElasticShardSqlUtil\ElasticShardSqlUtil.csproj,File,ElasticShardSqlUtil\Program.cs,196,12,T:System.CommandLine.Invocation.ICommandHandler,,,,,"commandRecoveryManagerAttachShard.Handler = CommandHandler.Create<RecoveryOptions, IHost>(RecoveryManagerCommandAttachShard);"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,ElasticShardSqlUtil\ElasticShardSqlUtil.csproj,File,ElasticShardSqlUtil\Program.cs,196,12,T:System.CommandLine.Invocation.ICommandHandler,,,,,"commandRecoveryManagerAttachShard.Handler = CommandHandler.Create<RecoveryOptions, IHost>(RecoveryManagerCommandAttachShard);"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,ElasticShardSqlUtil\ElasticShardSqlUtil.csproj,File,ElasticShardSqlUtil\Program.cs,196,12,P:System.CommandLine.Command.Handler,,,,,"commandRecoveryManagerAttachShard.Handler = CommandHandler.Create<RecoveryOptions, IHost>(RecoveryManagerCommandAttachShard);"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,ElasticShardSqlUtil\ElasticShardSqlUtil.csproj,File,ElasticShardSqlUtil\Program.cs,188,12,P:System.CommandLine.Option.IsRequired,,,,,"Command commandRecoveryManagerAttachShard = new Command(""attach-shard"", """") {                  new Option<int[]>(new []{ ""--tenants"", ""-t"" }, ""Space separated list of tenant IDs."")                  {                      Arity = ArgumentArity.OneOrMore,                      AllowMultipleArgumentsPerToken = true,                      IsRequired = true                  }              };"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,ElasticShardSqlUtil\ElasticShardSqlUtil.csproj,File,ElasticShardSqlUtil\Program.cs,188,12,P:System.CommandLine.Option.AllowMultipleArgumentsPerToken,,,,,"Command commandRecoveryManagerAttachShard = new Command(""attach-shard"", """") {                  new Option<int[]>(new []{ ""--tenants"", ""-t"" }, ""Space separated list of tenant IDs."")                  {                      Arity = ArgumentArity.OneOrMore,                      AllowMultipleArgumentsPerToken = true,                      IsRequired = true                  }              };"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,ElasticShardSqlUtil\ElasticShardSqlUtil.csproj,File,ElasticShardSqlUtil\Program.cs,188,12,T:System.CommandLine.ArgumentArity,,,,,"Command commandRecoveryManagerAttachShard = new Command(""attach-shard"", """") {                  new Option<int[]>(new []{ ""--tenants"", ""-t"" }, ""Space separated list of tenant IDs."")                  {                      Arity = ArgumentArity.OneOrMore,                      AllowMultipleArgumentsPerToken = true,                      IsRequired = true                  }              };"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,ElasticShardSqlUtil\ElasticShardSqlUtil.csproj,File,ElasticShardSqlUtil\Program.cs,188,12,T:System.CommandLine.ArgumentArity,,,,,"Command commandRecoveryManagerAttachShard = new Command(""attach-shard"", """") {                  new Option<int[]>(new []{ ""--tenants"", ""-t"" }, ""Space separated list of tenant IDs."")                  {                      Arity = ArgumentArity.OneOrMore,                      AllowMultipleArgumentsPerToken = true,                      IsRequired = true                  }              };"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,ElasticShardSqlUtil\ElasticShardSqlUtil.csproj,File,ElasticShardSqlUtil\Program.cs,188,12,P:System.CommandLine.ArgumentArity.OneOrMore,,,,,"Command commandRecoveryManagerAttachShard = new Command(""attach-shard"", """") {                  new Option<int[]>(new []{ ""--tenants"", ""-t"" }, ""Space separated list of tenant IDs."")                  {                      Arity = ArgumentArity.OneOrMore,                      AllowMultipleArgumentsPerToken = true,                      IsRequired = true                  }              };"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,ElasticShardSqlUtil\ElasticShardSqlUtil.csproj,File,ElasticShardSqlUtil\Program.cs,188,12,T:System.CommandLine.ArgumentArity,,,,,"Command commandRecoveryManagerAttachShard = new Command(""attach-shard"", """") {                  new Option<int[]>(new []{ ""--tenants"", ""-t"" }, ""Space separated list of tenant IDs."")                  {                      Arity = ArgumentArity.OneOrMore,                      AllowMultipleArgumentsPerToken = true,                      IsRequired = true                  }              };"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,ElasticShardSqlUtil\ElasticShardSqlUtil.csproj,File,ElasticShardSqlUtil\Program.cs,188,12,M:System.CommandLine.Command.Add(System.CommandLine.Option),,,,,"Command commandRecoveryManagerAttachShard = new Command(""attach-shard"", """") {                  new Option<int[]>(new []{ ""--tenants"", ""-t"" }, ""Space separated list of tenant IDs."")                  {                      Arity = ArgumentArity.OneOrMore,                      AllowMultipleArgumentsPerToken = true,                      IsRequired = true                  }              };"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,ElasticShardSqlUtil\ElasticShardSqlUtil.csproj,File,ElasticShardSqlUtil\Program.cs,188,12,T:System.CommandLine.Command,,,,,"Command commandRecoveryManagerAttachShard = new Command(""attach-shard"", """") {                  new Option<int[]>(new []{ ""--tenants"", ""-t"" }, ""Space separated list of tenant IDs."")                  {                      Arity = ArgumentArity.OneOrMore,                      AllowMultipleArgumentsPerToken = true,                      IsRequired = true                  }              };"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,ElasticShardSqlUtil\ElasticShardSqlUtil.csproj,File,ElasticShardSqlUtil\Program.cs,188,12,"M:System.CommandLine.Command.#ctor(System.String,System.String)",,,,,"Command commandRecoveryManagerAttachShard = new Command(""attach-shard"", """") {                  new Option<int[]>(new []{ ""--tenants"", ""-t"" }, ""Space separated list of tenant IDs."")                  {                      Arity = ArgumentArity.OneOrMore,                      AllowMultipleArgumentsPerToken = true,                      IsRequired = true                  }              };"
